Stock #,Availability,Shape,Weight,Clarity,Color,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Price,Total Price,Discount Percent,Image Link,Image Link 2,Image Link 3,Image Link 4,Image Link 5,Image Link 6,Video Link,Cut Grade,Polish,Symmetry,Depth Percent,Table Percent,Fluorescence Intensity,Fluorescence Color,Lab,Certificate #,Certificate Url,Cert Comment,Culet Condition,Culet Size,Girdle Percent,Girdle Condition,Girdle Thick,Girdle Thin,Measurements,Measurements Depth,Measurements Length,Measurements Width,Milky,Pavilion Depth,BGM,Crown Height,Crown Angle,Pavilion Angle,Laser Inscription,Member Comments,Pair,H&A,City,State,Country,Stock Number for Matching Pair,Share Access,Eye Clean,Featured,Table Open,Crown Open,Girdle Open,Star Length,Type,Tinge,Luster,Black Inclusion,Location of Black,Table Inclusion,Key To Symbol,Surface Graining,Internal Graining,Inclusion Pattern,Diamond Origin Report,Short Title,Arrival Date,Growth Type
,Yes,Marquise,"0,3",SI1,E,,,,500,150,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA74A-2,VG,VG,VG,"65,2",54,,,GCAL,321920263,,,,,,,,,,07.12,3.41,2.22,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Round,"0,3",VS1,G,,,,500,150,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA45A-2,ID,EX,EX,"60,8",57,,,GCAL,321920253,,,,,,,,,,4.35,4.38,2.65,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,3",VS2,F,,,,500,150,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA72A-3,VG,VG,GD,"60,8",56,,,GCAL,321990322,,,,,,,,,,5.37,3.86,2.35,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Pear,"0,3",SI2,G,,,,500,150,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA11A-2,VG,EX,VG,"64,3",60,,,GCAL,322070023,,,,,,,,,,6.19,3.65,2.35,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,3",SI2,I,,,,500,150,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA08A-3,G,GD,FRIR,"66,7",58,,,GCAL,322070028,,,,,,,,,,07.06,3.33,2.22,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Emerald,"0,3",VS2,G,,,,500,150,,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=ZAA37A-200,VG,VG,VG,"69,5",60,,,GCAL,321800054,,,,,,,,,,4.52,3.19,2.22,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,3",SI1,G,,,,500,150,,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=ZAA50A-4,VG,GD,GD,"59,1",60,,,GCAL,321800049,,,,,,,,,,7.56,3.48,02.05,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,3",VS2,G,,,,500,150,,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=ZAA54A-200,VG,VG,GD,60,63,,,GCAL,321800031,,,,,,,,,,5.50,3.73,2.24,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,3",VS1,E,,,,500,150,,,,,,,,-,-,VG,VG,"62,4",59,,,IGI,532251716,,,,,,,,,,7.27,3.43,2.14,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Round,"0,3",I1,F,,,,500,150,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA72A-2,VG,EX,VG,"61,2",59,,,GCAL,322140709,,,,,,,,,,4.3,4.32,2.64,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Emerald,"0,3",SI1,G,,,,500,150,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA90A-2,VG,GD,GD,"67,3",68,,,GCAL,322140702,,,,,,,,,,4.68,02.01,01.01,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Pear,"0,3",SI1,E,,,,500,150,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA10A-4,VG,EX,VG,"59,9",60,,,GCAL,322140705,,,,,,,,,,6.23,3.72,2.22,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,3",SI2,E,,,,500,150,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA54A-201,VG,VG,GD,"63,1",58,,,GCAL,322650195,,,,,,,,,,5.47,3.75,2.37,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,3",SI1,G,,,,500,150,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA27A-200,VG,VG,GD,"63,2",63,,,GCAL,322690193,,,,,,,,,,5.42,2.1,2.34,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,3",SI1,F,,,,500,150,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA25A-3,VG,VG,VG,"64,5",56,,,GCAL,322430080,,,,,,,,,,6.7,3.54,2.28,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,31",SI1,D,,,,500,155,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA45A-4,VG,VG,VG,"65,7",62,,,GCAL,321920276,,,,,,,,,,5.63,3.68,2.42,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Pear,"0,31",SI1,H,,,,500,155,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA15A-3,VG,VG,GD,"54,2",62,,,GCAL,321990332,,,,,,,,,,6.51,3.91,02.12,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Pear,"0,31",VS2,G,,,,500,155,,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=ZAA42A-2,VG,VG,VG,"62,2",60,,,GCAL,321800047,,,,,,,,,,6.16,3.74,2.32,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,31",SI1,G,,,,500,155,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA85A-2,VG,GD,VG,"61,7",62,,,GCAL,321920264,,,,,,,,,,6.99,3.56,2.20,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Baguette,"0,31",VS2,F,,,,500,155,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA39A-2,VG,VG,VG,"56,5",74,,,GCAL,322140701,,,,,,,,,,5.47,1.1,1.66,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,31",SI1,F,,,,500,155,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA104A-4,VG,VG,VG,"60,7",61,,,GCAL,322140719,,,,,,,,,,04.01,3.86,01.01,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Pear,"0,32",VS2,G,,,,500,160,,,,,,,,-,VG,VG,VG,"62,9",64,,,GCAL,321800048,,,,,,,,,,6.42,3.70,2.33,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,32",VS2,I,,,,500,160,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA54A-202,VG,GD,GD,"62,1",64,,,GCAL,322690194,,,,,,,,,,5.78,2.1,2.31,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,33",VS2,H,,,,500,165,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA49A-2,VG,VG,GD,"63,6",58,,,GCAL,321920265,,,,,,,,,,7.19,3.57,2.27,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Round,"0,33",SI2,F,,,,500,165,,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=ZAA52A-2,ID,EX,EX,"61,6",54,,,GCAL,321800056,,,,,,,,,,4.44,4.47,2.75,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Round,"0,34",VS2,H,,,,500,170,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA84A-3,VG,EX,VG,"61,3",56,,,GCAL,322140710,,,,,,,,,,4.5,3.1,2.77,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,34",VS2,F,,,,500,170,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA64A-201,G,EX,GD,"56,7",62,,,GCAL,322500087,,,,,,,,,,5.95,3.99,2.26,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,34",VS2,H,,,,500,170,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA26A-200,EX,VG,VG,"61,9",62,,,GCAL,322690195,,,,,,,,,,4.1,3.92,2.42,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,35",SI1,G,,,,500,175,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA104A-2,VG,EX,VG,"61,4",59,,,GCAL,322070024,,,,,,,,,,5.73,3.96,2.44,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,36",SI1,G,,,,500,180,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA83A-2,VG,VG,VG,"61,3",55,,,GCAL,321920277,,,,,,,,,,06.02,3.94,2.41,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Pear,"0,36",SI2,I,,,,500,180,,,,,,,,-,VG,VG,VG,"61,3",59,,,GCAL,322340181,,,,,,,,,,6.28,3.94,2.41,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,37",VS1,G,,,,500,185,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA77A-2,VG,VG,VG,"60,3",59,,,GCAL,321920266,,,,,,,,,,7.33,3.84,2.31,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Round,"0,37",VS2,I,,,,500,185,,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=ZAA27A-202,EX,EX,EX,"62,2",56,,,GCAL,321800057,,,,,,,,,,4.59,4.60,2.86,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,37",VS2,F,,,,500,185,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA92A-2,VG,EX,VG,65,54,,,GCAL,321920267,,,,,,,,,,7.36,3.74,2.43,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,37",VS2,H,,,,500,185,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA105A-2,VG,VG,VG,"62,4",61,,,GCAL,322430081,,,,,,,,,,7.27,3.84,2.4,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,38",VS1,F,,,,500,190,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA91A-2,VG,EX,GD,"61,6",60,,,GCAL,322070029,,,,,,,,,,08.03,3.73,2.30,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,38",VS2,H,,,,500,190,,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=ZAA59A-201,VG,VG,GD,"61,3",58,,,GCAL,321800032,,,,,,,,,,5.79,04.12,2.53,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,38",I1,G,,,,500,190,,,,,,,,-,VG,VG,VG,"69,4",60,,,GCAL,322340176,,,,,,,,,,7.68,3.56,2.47,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Pear,"0,39",VVS2,I,,,,500,195,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA06A-2,VG,VG,GD,"62,4",62,,,GCAL,321990333,,,,,,,,,,6.45,04.06,2.53,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,4",VS2,E,,,,500,200,,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=ZAA50A-2,VG,VG,GD,"64,2",54,,,GCAL,321800050,,,,,,,,,,8.13,3.76,2.42,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,4",VVS1,G,,,,500,200,,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=ZAA60A-200,VG,GD,GD,"62,6",51,,,GCAL,321800033,,,,,,,,,,5.86,4.22,2.64,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,4",SI2,G,,,,500,200,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA50A-3,EX,VG,VG,"62,7",62,,,GCAL,322200537,,,,,,,,,,6.31,04.02,2.52,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Round,"0,41",VS1,G,,,,500,205,,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=ZAA04A-2,ID,EX,EX,"62,5",57,,,IGI,532251719,,,,,,,,,,4.74,4.76,2.97,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,41",SI2,E,,,,500,205,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA49A-3,VG,EX,VG,"64,1",61,,,GCAL,321920268,,,,,,,,,,7.71,3.90,2.50,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,41",VS2,F,,,,500,205,,,,,,,,-,VG,EX,VG,"62,9",63,,,GCAL,321990319,,,,,,,,,,7.30,3.92,2.47,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,41",I1,E,,,,500,205,,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=ZAA45A-3,G,VG,GD,"65,7",61,,,GCAL,321800052,,,,,,,,,,7.65,3.77,2.48,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,41",VS1,E,,,,500,205,,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=ZAA60A-201,VG,GD,GD,"57,6",60,,,GCAL,321800051,,,,,,,,,,8.23,3.95,2.28,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Round,"0,41",VS2,G,,,,500,205,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA82A-3,EX,EX,EX,"60,8",56,,,GCAL,321920254,,,,,,,,,,4.81,4.83,2.94,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Emerald,"0,42",VS2,I,,,,500,210,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA103A-2,VG,VG,VG,"62,6",68,,,GCAL,322430078,,,,,,,,,,5.16,3.64,01.01,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,43",SI1,E,,,,500,215,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA48A-3,VG,VG,VG,"61,4",60,,,GCAL,321920278,,,,,,,,,,6.52,4.18,2.57,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Pear,"0,43",SI1,I,,,,500,215,,,,,,,,-,VG,GD,GD,"57,4",62,,,GCAL,321990334,,,,,,,,,,6.72,4.27,2.45,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,43",VS2,G,,,,500,215,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA60A-202,G,VG,GD,"59,8",58,,,GCAL,322500094,,,,,,,,,,7.93,2.1,2.36,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,44",VS1,H,,,,500,220,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA93A-2,VG,EX,VG,"62,1",61,,,GCAL,321920279,,,,,,,,,,6.40,4.26,2.64,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,44",VVS1,E,,,,500,220,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA91A-3,EX,VG,VG,"57,5",60,,,GCAL,322140712,,,,,,,,,,8.62,04.05,2.33,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,46",VS2,G,,,,500,230,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA94A-3,VG,VG,VG,"63,2",64,,,GCAL,321920269,,,,,,,,,,8.36,04.01,2.54,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,46",VS2,H,,,,500,230,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA76A-2,VG,VG,GD,57,62,,,GCAL,321990320,,,,,,,,,,8.47,4.11,2.34,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,46",VS2,G,,,,500,230,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA23A-202,VG,EX,VG,"60,4",55,,,GCAL,322500088,,,,,,,,,,6.27,4.45,2.69,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,47",VVS1,I,,,,500,235,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA77A-3,VG,VG,VG,"65,3",55,,,GCAL,321920270,,,,,,,,,,08.01,3.98,2.60,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Pear,"0,49",VS2,Fancy Blue,,,,600,294,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA13A-3,VG,VG,GD,64,60,,,GCAL,321920294,,,,,,,,,,6.85,4.37,2.80,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,49",VS2,H,,,,500,245,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA68A-200,EX,VG,VG,"59,8",57,,,GCAL,322690196,,,,,,,,,,5.1,3.1,2.72,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Pear,"0,5",SI2,I,,,,500,250,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA48A-2,VG,VG,VG,"63,8",59,,,GCAL,321920295,,,,,,,,,,6.97,4.44,2.83,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,5",VVS1,D,,,,500,250,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA61A-201,VG,GD,VG,64,59,,,GCAL,321920280,,,,,,,,,,6.39,4.44,2.84,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Round,"0,5",SI2,G,,,,500,250,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA84A-2,VG,VG,VG,"61,1",57,,,GCAL,321990336,,,,,,,,,,05.09,5.12,3.12,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,5",I1,I,,,,500,250,,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=ZAA47A-201,VG,GD,VG,"64,7",54,,,GCAL,321800034,,,,,,,,,,6.44,4.44,2.87,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,5",I1,H,,,,500,250,,,,,,,,-,VG,VG,VG,"60,1",58,,,GCAL,321920281,,,,,,,,,,6.58,4.55,2.73,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Round,"0,5",VS2,I,,,,500,250,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA45A-1,VG,VG,VG,"60,5",59,,,GCAL,321920255,,,,,,,,,,5.10,5.13,03.09,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,5",VS1,Fancy Light Blue,,,,600,300,,,,,,,,-,EX,EX,VG,"62,7",57,,,GCAL,322340177,,,,,,,,,,8.54,04.08,2.56,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,5",VVS2,H,,,,500,250,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA86A-2,EX,VG,VG,"67,4",59,,,GCAL,322200541,,,,,,,,,,7.92,04.06,2.73,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,5",VS2,F,,,,500,250,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA116A-1,EX,EX,VG,"57,6",61,,,GCAL,322650196,,,,,,,,,,6.42,3.1,2.67,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,5",VS2,Fancy Light Blue,,,,600,300,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA20A-1,VG,VG,VG,"62,1",66,,,GCAL,322430084,,,,,,,,,,6.36,4.4,1.1,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,5",VS2,I,,,,500,250,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA66A-200,VG,VG,GD,"63,3",55,,,GCAL,322690189,,,,,,,,,,8.3,3.97,1.1,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Round,"0,51",VS2,H,,,,500,255,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA52A-3,EX,EX,EX,"61,1",58,,,GCAL,321920257,,,,,,,,,,05.09,5.14,3.13,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Round,"0,51",VS2,G,,,,500,255,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA82A-2,VG,EX,VG,"61,8",56,,,GCAL,321920256,,,,,,,,,,5.10,5.11,3.16,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,51",I1,G,,,,500,255,,,,,,,,-,EX,EX,VG,"62,7",60,,,GCAL,322340179,,,,,,,,,,8.58,4.8,2.56,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,51",SI2,I,,,,500,255,,,,,,,,-,VG,EX,GD,"65,6",55,,,GCAL,322340178,,,,,,,,,,8.24,04.09,2.68,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
